Id,OwnerId,KPMGOwnerID,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,KPMGCreatedById,LastModifiedDate,LastModifiedById,KPMGModifiedById,SystemModstamp,ffscpq__End_Date__c,ffscpq__Estimate_Product__c,KPMGEngageProductId,ffscpq__Estimate__c,ffscpq__Group__c,ffscpq__Hours__c,ffscpq__Practice__c,KPMGEngagePracticeId,ffscpq__Region__c,ffscpq__Resource_Role__c,ffscpq__Start_Date__c,ffscpq__Actual_Cost_Rate__c,KPMG_OffshoreCategory__c,KPMG_LocationType__c,KPMG_AuditSeniorHours__c,KPMG_AuditPreparerHours__c,KPMG_AuditSupervisorHours__c,KPMG_AuditGDCHours__c,KPMG_OffshoreHours__c,KPMG_NearshoreCenterHours__c,KPMG_StaffHours__c,KPMG_AuditTAHours__c,KPMG_AuditCASHours__c,KPMG_AdvisoryHours__c,KPMG_AuditHours__c,KPMG_TaxHours__c,ffscpq__Requested_Bill_Rate__c,ffscpq__Percent_Discount__c,KPMG_ServiceGroupLookup__c,KPMG_OtherHours__c,KPMG_CostCenterLookup__c,KPMG_OnshoreHours__c,KPMG_ERR_External_Id__c,KPMG_ServiceNetworkLookup__c,KPMG_ServiceLineLookup__c,KPMG_LocationTypePicklist__c
001,0051234567890ABCD,KM001,false,Project Alpha,USD,2024-01-15T10:00:00Z,0051234567890ABCD,KM001,2024-01-20T15:30:00Z,0051234567890ABCD,KM001,2024-01-20T15:30:00Z,2024-06-30T00:00:00Z,Consulting Services,PROD001,EST001,Group A,120.50,Audit,PRAC001,North America,Senior Consultant,2024-01-15T00:00:00Z,150.0000,Offshore,Remote,40.00,30.00,20.00,15.00,25.00,10.00,15.00,5.00,5.00,10.00,80.00,20.00,175.0000,15.50,Service Group A,5.00,Cost Center A,25.00,EXT001,Network A,Service Line A,Remote
002,0051234567890ABCD,KM002,false,Project Beta,USD,2024-01-16T09:00:00Z,0051234567890ABCD,KM002,2024-01-21T14:00:00Z,0051234567890ABCD,KM002,2024-01-21T14:00:00Z,2024-07-31T00:00:00Z,Advisory Services,PROD002,EST002,Group B,85.25,Tax,PRAC002,Europe,Manager,2024-01-16T00:00:00Z,200.0000,Onshore,Office,25.00,20.00,15.00,10.00,15.00,5.00,10.00,3.00,3.00,5.00,50.00,15.00,250.0000,20.00,Service Group B,3.00,Cost Center B,15.00,EXT002,Network B,Service Line B,Office
003,0051234567890ABCD,KM003,false,Project Gamma,USD,2024-01-17T11:00:00Z,0051234567890ABCD,KM003,2024-01-22T16:00:00Z,0051234567890ABCD,KM003,2024-01-22T16:00:00Z,2024-08-31T00:00:00Z,Audit Services,PROD003,EST003,Group C,200.00,Advisory,PRAC003,Asia Pacific,Director,2024-01-17T00:00:00Z,300.0000,Hybrid,Hybrid,60.00,45.00,30.00,20.00,30.00,15.00,20.00,8.00,8.00,15.00,120.00,30.00,350.0000,25.00,Service Group C,8.00,Cost Center C,30.00,EXT003,Network C,Service Line C,Hybrid
004,0051234567890ABCD,KM004,false,Project Delta,USD,2024-01-18T08:00:00Z,0051234567890ABCD,KM004,2024-01-23T13:00:00Z,0051234567890ABCD,KM004,2024-01-23T13:00:00Z,2024-09-30T00:00:00Z,Tax Services,PROD004,EST004,Group D,150.75,Tax,PRAC004,South America,Senior Manager,2024-01-18T00:00:00Z,175.0000,Offshore,Remote,35.00,25.00,20.00,15.00,20.00,10.00,15.00,5.00,5.00,10.00,70.00,20.00,200.0000,18.00,Service Group D,5.00,Cost Center D,20.00,EXT004,Network D,Service Line D,Remote
005,0051234567890ABCD,KM005,false,Project Epsilon,USD,2024-01-19T10:00:00Z,0051234567890ABCD,KM005,2024-01-24T15:00:00Z,0051234567890ABCD,KM005,2024-01-24T15:00:00Z,2024-10-31T00:00:00Z,Consulting Services,PROD005,EST005,Group E,95.00,Audit,PRAC005,Africa,Consultant,2024-01-19T00:00:00Z,125.0000,Onshore,Office,20.00,15.00,10.00,8.00,12.00,5.00,8.00,3.00,3.00,5.00,40.00,12.00,150.0000,12.00,Service Group E,3.00,Cost Center E,12.00,EXT005,Network E,Service Line E,Office
006,0051234567890ABCD,KM006,false,Project Zeta,USD,2024-01-20T09:00:00Z,0051234567890ABCD,KM006,2024-01-25T14:00:00Z,0051234567890ABCD,KM006,2024-01-25T14:00:00Z,2024-11-30T00:00:00Z,Advisory Services,PROD006,EST006,Group F,180.25,Advisory,PRAC006,Middle East,Partner,2024-01-20T00:00:00Z,400.0000,Hybrid,Hybrid,50.00,40.00,25.00,18.00,25.00,12.00,18.00,7.00,7.00,12.00,100.00,25.00,450.0000,30.00,Service Group F,7.00,Cost Center F,25.00,EXT006,Network F,Service Line F,Hybrid
007,0051234567890ABCD,KM007,false,Project Eta,USD,2024-01-21T11:00:00Z,0051234567890ABCD,KM007,2024-01-26T16:00:00Z,0051234567890ABCD,KM007,2024-01-26T16:00:00Z,2024-12-31T00:00:00Z,Audit Services,PROD007,EST007,Group G,220.00,Tax,PRAC007,Australia,Senior Partner,2024-01-21T00:00:00Z,500.0000,Onshore,Office,70.00,55.00,35.00,25.00,35.00,18.00,25.00,10.00,10.00,18.00,150.00,35.00,600.0000,40.00,Service Group G,10.00,Cost Center G,35.00,EXT007,Network G,Service Line G,Office
008,0051234567890ABCD,KM008,false,Project Theta,USD,2024-01-22T08:00:00Z,0051234567890ABCD,KM008,2024-01-27T13:00:00Z,0051234567890ABCD,KM008,2024-01-27T13:00:00Z,2025-01-31T00:00:00Z,Tax Services,PROD008,EST008,Group H,160.50,Audit,PRAC008,Canada,Manager,2024-01-22T00:00:00Z,225.0000,Offshore,Remote,40.00,30.00,20.00,15.00,20.00,10.00,15.00,5.00,5.00,10.00,80.00,20.00,275.0000,22.00,Service Group H,5.00,Cost Center H,20.00,EXT008,Network H,Service Line H,Remote
009,0051234567890ABCD,KM009,false,Project Iota,USD,2024-01-23T10:00:00Z,0051234567890ABCD,KM009,2024-01-28T15:00:00Z,0051234567890ABCD,KM009,2024-01-28T15:00:00Z,2025-02-28T00:00:00Z,Consulting Services,PROD009,EST009,Group I,110.75,Advisory,PRAC009,Mexico,Senior Consultant,2024-01-23T00:00:00Z,150.0000,Hybrid,Hybrid,25.00,20.00,15.00,10.00,15.00,8.00,12.00,4.00,4.00,8.00,60.00,15.00,175.0000,15.00,Service Group I,4.00,Cost Center I,15.00,EXT009,Network I,Service Line I,Hybrid
010,0051234567890ABCD,KM010,false,Project Kappa,USD,2024-01-24T09:00:00Z,0051234567890ABCD,KM010,2024-01-29T14:00:00Z,0051234567890ABCD,KM010,2024-01-29T14:00:00Z,2025-03-31T00:00:00Z,Audit Services,PROD010,EST010,Group J,190.00,Tax,PRAC010,Brazil,Director,2024-01-24T00:00:00Z,350.0000,Onshore,Office,45.00,35.00,25.00,18.00,25.00,12.00,18.00,7.00,7.00,12.00,90.00,25.00,400.0000,28.00,Service Group J,7.00,Cost Center J,25.00,EXT010,Network J,Service Line J,Office
